allele,gene_family,refseq_nucleotide_accession,subclass
NA,aac(6'),NG_052472.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052187.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052189.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052205.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052206.1,AMINOGLYCOSIDE
NA,aac(6'),NG_052221.1,AMINOGLYCOSIDE
aac(6')-32,aac(6'),NG_047266.1,AMINOGLYCOSIDE
aac(6')-33,aac(6'),NG_047267.1,AMINOGLYCOSIDE
aac(6')-I30,aac(6'),NG_047268.1,AMINOGLYCOSIDE
aac(6')-Iae,aac(6'),NG_047277.1,AMINOGLYCOSIDE
aac(6')-Iaf,aac(6'),NG_047278.1,AMINOGLYCOSIDE
aac(6')-Iai,aac(6'),NG_047279.1,AMINOGLYCOSIDE
aac(6')-Iaj,aac(6'),NG_051491.1,AMINOGLYCOSIDE
aac(6')-Ial,aac(6'),NG_047281.1,AMINOGLYCOSIDE
aac(6')-Ic,aac(6'),NG_047294.1,AMINOGLYCOSIDE
aac(6')-Isa,aac(6'),NG_047311.1,AMINOGLYCOSIDE
aacA16,aac(6'),NG_052380.1,AMINOGLYCOSIDE
aacA47,aac(6'),NG_052259.1,AMINOGLYCOSIDE
aacA56,aac(6'),NG_051492.1,AMINOGLYCOSIDE
NA,aac(6')-29,NG_052220.1,AMINOGLYCOSIDE
aac(6')-29a,aac(6')-29,NG_048575.1,AMINOGLYCOSIDE
aac(6')-29b,aac(6')-29,NG_048576.1,AMINOGLYCOSIDE
NA,aac(6')-30,NG_051559.1,AMINOGLYCOSIDE
NA,aac(6')-31,NG_047265.1,AMINOGLYCOSIDE
NA,aac(6')-31,NG_052210.1,AMINOGLYCOSIDE
NA,aac(6')-31,NG_052214.1,AMINOGLYCOSIDE
NA,aac(6')-35,NG_063816.1,KANAMYCIN
NA,aac(6')-I,NG_052523.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052255.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052258.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052394.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052395.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052396.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052397.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052398.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052399.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052401.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052400.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052529.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052525.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052526.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052527.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052528.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052166.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052457.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052458.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052421.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052531.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052216.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-I,NG_052371.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052275.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052140.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052504.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052260.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052261.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052169.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052168.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052161.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052159.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052160.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052162.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052164.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052163.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052165.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052285.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052446.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052290.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052447.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052281.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052188.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052177.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052337.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052291.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052465.1,AMINOGLYCOSIDE
NA,aac(6')-I,NG_052207.1,AMINOGLYCOSIDE
aac(6')-Ig,aac(6')-I,NG_047296.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ih,aac(6')-I,NG_047297.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ii,aac(6')-I,NG_047298.1,AMINOGLYCOSIDE
aac(6')-Iid,aac(6')-I,NG_047299.1,AMINOGLYCOSIDE
aac(6')-Iih,aac(6')-I,NG_047300.1,AMINOGLYCOSIDE
aac(6')-Ij,aac(6')-I,NG_047301.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ik,aac(6')-I,NG_047302.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ir,aac(6')-I,NG_047309.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Is,aac(6')-I,NG_047310.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-It,aac(6')-I,NG_047312.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Iu,aac(6')-I,NG_047313.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Iv,aac(6')-I,NG_047314.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Iw,aac(6')-I,NG_047315.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ix,aac(6')-I,NG_047316.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-IIb,aac(6')-II,NG_047272.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
aacA35,aac(6')-II,NG_047269.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-III,NG_068500.1,TOBRAMYCIN
NA,aac(6')-III,NG_068501.1,TOBRAMYCIN
NA,aac(6')-III,NG_068502.1,TOBRAMYCIN
NA,aac(6')-IIa,NG_052142.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-IIa,NG_052505.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-IIa,NG_047270.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-IIc,NG_047273.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-IIc,NG_052462.1,GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ia,NG_047275.1,AMINOGLYCOSIDE
NA,aac(6')-Ia,NG_052217.1,AMINOGLYCOSIDE
NA,aac(6')-Ia,NG_051679.1,AMINOGLYCOSIDE
NA,aac(6')-Iad,NG_047276.1,AMIKACIN/TOBRAMYCIN
NA,aac(6')-Iak,NG_047280.1,AMINOGLYCOSIDE
NA,aac(6')-Iak,NG_052391.1,AMINOGLYCOSIDE
NA,aac(6')-Iak,NG_052197.1,AMINOGLYCOSIDE
NA,aac(6')-Iak,NG_052203.1,AMINOGLYCOSIDE
NA,aac(6')-Iak,NG_052202.1,AMINOGLYCOSIDE
NA,aac(6')-Ian,NG_047282.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ian,NG_052170.1,AMINOGLYCOSIDE
NA,aac(6')-Ib,NG_052283.1,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052219.1,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_047286.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052057.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_047289.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052418.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067964.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067951.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067950.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052358.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052181.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052182.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052503.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052262.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067946.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_052059.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_056043.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067948.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_047284.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067957.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067953.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067958.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067961.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067962.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_067954.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib,NG_065404.1,AMINOGLYCOSIDE
NA,aac(6')-Ib,NG_067955.1,AMINOGLYCOSIDE
NA,aac(6')-Ib,NG_052361.1,GENTAMICIN
NA,aac(6')-Ib,NG_052063.1,GENTAMICIN
NA,aac(6')-Ib,NG_052535.1,GENTAMICIN
NA,aac(6')-Ib,NG_047288.1,GENTAMICIN
NA,aac(6')-Ib,NG_067963.1,GENTAMICIN
NA,aac(6')-Ib,NG_067949.1,GENTAMICIN
NA,aac(6')-Ib,NG_067952.1,GENTAMICIN
NA,aac(6')-Ib,NG_067965.1,GENTAMICIN
NA,aac(6')-Ib,NG_052481.1,GENTAMICIN
NA,aac(6')-Ib,NG_052517.1,GENTAMICIN
NA,aac(6')-Ib,NG_052520.1,GENTAMICIN
NA,aac(6')-Ib,NG_052274.1,GENTAMICIN
NA,aac(6')-Ib,NG_052349.1,GENTAMICIN
NA,aac(6')-Ib,NG_047291.1,GENTAMICIN
NA,aac(6')-Ib,NG_052414.1,GENTAMICIN
NA,aac(6')-Ib,NG_052024.1,GENTAMICIN
NA,aac(6')-Ib,NG_052303.1,GENTAMICIN
NA,aac(6')-Ib,NG_052328.1,GENTAMICIN
NA,aac(6')-Ib,NG_051697.1,GENTAMICIN
NA,aac(6')-Ib,NG_067947.1,GENTAMICIN
NA,aac(6')-Ib,NG_052628.1,GENTAMICIN
NA,aac(6')-Ib,NG_067959.1,GENTAMICIN
NA,aac(6')-Ib,NG_067960.1,GENTAMICIN
NA,aac(6')-Ib,NG_067956.1,GENTAMICIN
NA,aac(6')-Ib,NG_067966.1,GENTAMICIN
NA,aac(6')-Ib,NG_047285.1,KANAMYCIN
aac(6')-Ib3,aac(6')-Ib,NG_051438.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
aac(6')-Ib4,aac(6')-Ib,NG_051844.1,GENTAMICIN
NA,aac(6')-Ib',NG_051695.1,GENTAMICIN
NA,aac(6')-Ib-cr,NG_052213.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr10,aac(6')-Ib-cr,NG_067968.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr11,aac(6')-Ib-cr,NG_067969.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr3,aac(6')-Ib-cr,NG_052123.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr4,aac(6')-Ib-cr,NG_052463.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr5,aac(6')-Ib-cr,NG_051711.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr6,aac(6')-Ib-cr,NG_047292.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr7,aac(6')-Ib-cr,NG_052086.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr8,aac(6')-Ib-cr,NG_067970.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
aac(6')-Ib-cr9,aac(6')-Ib-cr,NG_067971.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN/QUINOLONE
NA,aac(6')-Ib11,NG_048578.1,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Ib11,NG_052506.1,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Id,NG_055007.1,AMINOGLYCOSIDE
NA,aac(6')-If,NG_052054.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-If,NG_047295.2,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Il,NG_047304.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Il,NG_047305.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Il,NG_047303.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Il,NG_052392.1,AMINOGLYCOSIDE
NA,aac(6')-Im,NG_047306.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Im,NG_052530.1,AMINOGLYCOSIDE
NA,aac(6')-Im,NG_052222.1,AMINOGLYCOSIDE
NA,aac(6')-Ip,NG_047307.2,AMINOGLYCOSIDE
NA,aac(6')-Iq,NG_047308.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aac(6')-Iz,NG_052343.1,AMINOGLYCOSIDE
NA,aac(6')-Iz,NG_052390.1,AMINOGLYCOSIDE
NA,aac(6')-Iz,NG_052348.1,AMINOGLYCOSIDE
NA,aac(6')-Iz,NG_052377.1,AMINOGLYCOSIDE
NA,aac(6')-Iz,NG_047317.1,TOBRAMYCIN
NA,aac(6')-Iz,NG_054659.1,TOBRAMYCIN
NA,aac(6')-kana,NG_052084.1,AMINOGLYCOSIDE
NA,aacA10,NG_052119.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aacA32,NG_052208.1,AMINOGLYCOSIDE
NA,aacA34,NG_047319.1,AMINOGLYCOSIDE
NA,aacA34,NG_052286.1,AMINOGLYCOSIDE
NA,aacA37,NG_047320.1,AMINOGLYCOSIDE
NA,aacA38,NG_052056.1,AMINOGLYCOSIDE
NA,aacA40,NG_047271.1,AMINOGLYCOSIDE
NA,aacA43,NG_052295.1,AMINOGLYCOSIDE
NA,aacA43,NG_052508.1,AMINOGLYCOSIDE
NA,aacA43,NG_047321.1,KANAMYCIN/TOBRAMYCIN
NA,aacA48,NG_052025.1,AMIKACIN/KANAMYCIN/TOBRAMYCIN
NA,aacA49,NG_052026.1,AMINOGLYCOSIDE
NA,aacA57-2,NG_052083.1,AMINOGLYCOSIDE
NA,aacA8,NG_052107.1,AMINOGLYCOSIDE
NA,aad9,NG_047322.1,AMINOGLYCOSIDE
NA,aadA1,NG_052318.1,STREPTOMYCIN
NA,aadA1,NG_052233.1,STREPTOMYCIN
NA,aadA1,NG_047325.1,STREPTOMYCIN
NA,aadA1,NG_052238.1,STREPTOMYCIN
NA,aadA1,NG_052239.1,STREPTOMYCIN
NA,aadA1,NG_052227.1,STREPTOMYCIN
NA,aadA1,NG_052230.1,STREPTOMYCIN
NA,aadA1,NG_052234.1,STREPTOMYCIN
NA,aadA1,NG_052247.1,STREPTOMYCIN
NA,aadA1,NG_047327.1,STREPTOMYCIN
NA,aadA1,NG_052028.1,STREPTOMYCIN
NA,aadA1,NG_052245.1,STREPTOMYCIN
NA,aadA1,NG_052250.1,STREPTOMYCIN
NA,aadA1,NG_052252.1,STREPTOMYCIN
NA,aadA1,NG_052314.1,STREPTOMYCIN
NA,aadA1,NG_052320.1,STREPTOMYCIN
NA,aadA1,NG_052322.1,STREPTOMYCIN
NA,aadA1,NG_052030.1,STREPTOMYCIN
NA,aadA1,NG_052368.1,STREPTOMYCIN
NA,aadA1,NG_052434.1,STREPTOMYCIN
NA,aadA1,NG_052435.1,STREPTOMYCIN
NA,aadA1,NG_052431.1,STREPTOMYCIN
NA,aadA1,NG_052439.1,STREPTOMYCIN
NA,aadA1,NG_052440.1,STREPTOMYCIN
NA,aadA1,NG_052473.1,STREPTOMYCIN
NA,aadA1,NG_052477.1,STREPTOMYCIN
NA,aadA1,NG_052486.1,STREPTOMYCIN
NA,aadA1,NG_047328.1,STREPTOMYCIN
NA,aadA1,NG_052136.1,STREPTOMYCIN
NA,aadA1,NG_052354.1,STREPTOMYCIN
NA,aadA1,NG_052266.1,STREPTOMYCIN
NA,aadA1,NG_052271.1,STREPTOMYCIN
NA,aadA1,NG_052276.1,STREPTOMYCIN
NA,aadA1,NG_065405.1,STREPTOMYCIN
NA,aadA1,NG_052385.1,STREPTOMYCIN
NA,aadA1,NG_052257.1,STREPTOMYCIN
NA,aadA1,NG_052501.1,STREPTOMYCIN
NA,aadA1,NG_052502.1,STREPTOMYCIN
NA,aadA1,NG_052146.1,STREPTOMYCIN
NA,aadA1,NG_052145.1,STREPTOMYCIN
NA,aadA1,NG_052278.1,STREPTOMYCIN
NA,aadA1,NG_052279.1,STREPTOMYCIN
NA,aadA1,NG_052287.1,STREPTOMYCIN
NA,aadA1,NG_052311.1,STREPTOMYCIN
NA,aadA1,NG_052312.1,STREPTOMYCIN
NA,aadA1,NG_052313.1,STREPTOMYCIN
NA,aadA1,NG_052454.1,STREPTOMYCIN
NA,aadA1,NG_052344.1,STREPTOMYCIN
NA,aadA1,NG_052179.1,STREPTOMYCIN
NA,aadA1,NG_052335.1,STREPTOMYCIN
NA,aadA1,NG_052536.1,STREPTOMYCIN
NA,aadA1,NG_047326.1,STREPTOMYCIN
NA,aadA1,NG_047324.1,STREPTOMYCIN
NA,aadA10,NG_051878.1,STREPTOMYCIN
NA,aadA10,NG_052302.1,STREPTOMYCIN
NA,aadA10,NG_052307.1,STREPTOMYCIN
NA,aadA10,NG_052411.1,STREPTOMYCIN
NA,aadA10,NG_047329.1,STREPTOMYCIN
NA,aadA11,NG_047331.1,STREPTOMYCIN
NA,aadA11,NG_051873.1,STREPTOMYCIN
NA,aadA11,NG_047330.1,STREPTOMYCIN
NA,aadA11,NG_047332.1,STREPTOMYCIN
NA,aadA11,NG_052308.1,STREPTOMYCIN
